CNTR_ID,class,distur_1,area_ha
ES,6,0,0.0287938259232152
ES,6,0,934966.8465854272
ES,6,0,100391.30500216752
ES,6,0,42024.84512532276
ES,6,1,107756.75273962092
ES,6,1,17611.99346659836
ES,6,1,2697.4289634630927
ES,6,2,0.0003090095792592
ES,6,2,111737.24086646328
ES,6,2,6393.817341241072
ES,6,2,644.6996306981018
FI,0,-1,813474.1612595865
FI,0,-1,11925910.381926188
FI,0,-1,3941863.979155666
FI,0,-1,17073395.53705522
FI,1,0,1114.1435896317382
FI,1,0,289922.7252315092
FI,1,0,2648.768243987869
FI,1,0,7163.555177815168
FI,1,1,0.0001750671947162
FI,1,1,16878.44598092931
FI,1,1,107.00936420357108
FI,1,1,335.3051453446179
FI,1,2,0.0095729316741906
FI,1,2,29228.05956514411
FI,1,2,195.56164277365733
FI,1,2,251.8001299117154
FI,2,0,878.2925072182735
FI,2,0,391202.4757289104
FI,2,0,7557.970053710574
FI,2,0,5496.192603916664
FI,2,1,1.94053412875547e-05
FI,2,1,1970.9479926539057
FI,2,1,8.059056366424912
FI,2,1,33.77425287298397
FI,2,2,14639.076672098246
FI,2,2,12.460388180301267
FI,2,2,47.06360256521985
FI,3,0,148.14057828603882
FI,3,0,50411.97662635131
FI,3,0,1273.1140381476405
FI,3,0,2037.552481681682
FI,3,1,11166.681368671138
FI,3,1,253.43670707784904
FI,3,1,140.43207530025592
FI,3,2,17919.295502911576
FI,3,2,447.4566249644724
FI,3,2,206.52600529078816
FI,4,0,0.9265985608827264
